16208261,20200000000000,2020-10-15,25330803,Daryl,29/12/2014,f,Vaucluse,Waverley,Entire house,Entire home/apt,6,800.0,t,0,0,,,,,,,10_2020.csv,2020-10
16208274,20200000000000,2020-10-15,105884035,Hope,2/12/2016,f,Manly,Northern Beaches,Entire apartment,Entire home/apt,2,175.0,t,0,3,80.0,9.0,7.0,10.0,10.0,10.0,10_2020.csv,2020-10
16208617,20200000000000,2020-10-14,99023266,Liz,10/10/2016,t,Strathfield,Strathfield,Private room in apartment,Private room,2,65.0,t,29,10,86.0,8.0,8.0,10.0,9.0,8.0,10_2020.csv,2020-10
16208900,20200000000000,2020-10-15,105891068,Jeremy,2/12/2016,f,Bondi Beach,Waverley,Private room in apartment,Private room,2,50.0,t,0,0,,,,,,,10_2020.csv,2020-10
16210490,20200000000000,2020-10-13,105905677,Aaron,2/12/2016,f,,Randwick,Private room in apartment,Private room,1,186.0,t,29,0,,,,,,,10_2020.csv,2020-10
16210676,20200000000000,2020-10-17,105906665,Matt And Ally,2/12/2016,f,Balmain,Inner West,Entire house,Entire home/apt,5,175.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
16211792,20200000000000,2020-10-16,105915413,Thor,2/12/2016,f,Connells Point,Georges River,Private room in house,Private room,2,41.0,t,0,57,98.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
16216070,20200000000000,2020-10-14,10783097,Akhila,23/12/2013,f,,Inner West,Private room in house,Private room,3,220.0,t,30,9,93.0,10.0,9.0,10.0,10.0,9.0,10_2020.csv,2020-10
16216393,20200000000000,2020-10-13,5021839,Felicity,9/2/2013,f,,Willoughby,Entire house,Entire home/apt,7,300.0,t,0,0,,,,,,,10_2020.csv,2020-10
16216438,20200000000000,2020-10-15,20582809,Lisa,26/8/2014,t,,Northern Beaches,Entire house,Entire home/apt,6,529.0,t,17,15,99.0,10.0,10.0,10.0,10.0,10.0,10_2020.csv,2020-10
16218980,20200000000000,2020-10-13,16794035,Juha,2/12/2016,f,Balgowlah,Northern Beaches,Entire apartment,Entire home/apt,4,150.0,t,0,0,,,,,,,10_2020.csv,2020-10
16219548,20200000000000,2020-10-16,53992264,Simon,9/1/2016,f,Balmain,Inner West,Entire house,Entire home/apt,5,590.0,t,0,3,100.0,10.0,8.0,10.0,10.0,8.0,10_2020.csv,2020-10
16219572,20200000000000,2020-10-17,105969955,Daniel,2/12/2016,f,Strathfield,Burwood,Private room in house,Private room,2,48.0,t,0,2,90.0,8.0,6.0,9.0,9.0,10.0,10_2020.csv,2020-10
